PlayerID,Player,Team,TeamAbbreviation,Position,AverageSpeed,HighSpeedRuns,Sprints,TotalDistance,DistanceRank,MinutesPlayed,TotalDistanceKm,DistancePer90
477825,Odilon Kossounou,Côte d'Ivoire,CIV,DF,5.86,287,79,29901.79,328,316,29.901790000000002,8.516332594936708
406280,Sergino Dest,USA,USA,DF,6.75,464,210,36917.8,209,335,36.9178,9.918214925373134
504199,Mbekezeli Mbokazi,South Africa,RSA,DF,5.31,336,138,35585.09,224,402,35.585089999999994,7.96681119402985
418963,Facundo Medina,Argentina,ARG,DF,3.78,409,121,36406.07,216,350,36.40607,9.361560857142857
489603,Ali Nemati,IR Iran,IRN,DF,6.14,369,108,31613.92,284,309,31.613919999999997,9.20793786407767
335999,Aymeric Laporte,Spain,ESP,DF,5.8,695,204,79572.1,7,824,79.5721,8.691127427184465
385030,Fidel Escobar,Panama,PAN,DF,1.93,106,45,9536.99,758,98,9.53699,8.758460204081633
339820,Kalidou Koulibaly,Senegal,SEN,DF,2.65,167,44,16073.86,609,181,16.07386,7.992527071823204
502945,Alexander Bernhardsson,Sweden,SWE,DF,4.85,268,90,25109.78,434,233,25.109779999999997,9.699056652360515
483304,Gustaf Lagerbielke,Sweden,SWE,DF,6.18,436,119,41310.47,159,400,41.31047,9.294855750000002
