PlayerID,Player,Team,TeamAbbreviation,Position,AverageSpeed,HighSpeedRuns,Sprints,TotalDistance,DistanceRank,MinutesPlayed
403585,Roberto Alvarado,Mexico,MEX,FW,6.34,567,185,50296.79,68,476
395206,Bruno Fernandes,Portugal,POR,MF,6.4,572,219,50225.1,69,471
489704,Renato Veiga,Portugal,POR,DF,5.77,498,145,49867.82,70,518
395550,Jefferson Lerma,Colombia,COL,MF,6.51,713,170,49541.65,71,459
419177,William Saliba,France,FRA,DF,4.12,407,157,49524.88,72,533
393480,Breel Embolo,Switzerland,SUI,FW,5.56,468,235,49484.27,73,531
419652,Erling Haaland,Norway,NOR,FW,4.61,375,172,49468.92,74,537
332946,Marquinhos,Brazil,BRA,DF,5.68,453,141,49331.59,75,520
344654,Mohamed Salah,Egypt,EGY,FW,6.32,493,201,49162.03,76,469
483161,Mostafa Zico,Egypt,EGY,MF,7.41,726,225,49154.47,77,398
464114,Desire Doue,France,FRA,FW,6.62,587,269,49084.57,78,449
369744,Gustavo Gomez,Paraguay,PAR,DF,5.32,342,109,49082.71,79,554
430740,Brahim Diaz,Morocco,MAR,FW,5.88,524,225,49004.01,80,500
479601,Juan Jose Caceres,Paraguay,PAR,DF,5.99,521,193,48658.8,81,488
483505,David Moller Wolfe,Norway,NOR,DF,5.1,520,216,48590.19,82,477
386013,Davinson Sanchez,Colombia,COL,DF,5.36,441,145,48497.14,83,541
424422,Matias Galarza,Paraguay,PAR,MF,5.32,560,237,48496.58,84,439
430753,Unai Simon,Spain,ESP,GK,3.37,143,44,48090.58,85,857
403083,Issa Diop,Morocco,MAR,DF,4.5,413,102,48036.09,86,534
411680,Noussair Mazraoui,Morocco,MAR,DF,5.3,396,146,48034.34,87,542
405742,Vinicius Junior,Brazil,BRA,FW,5.68,514,253,47848.57,88,505
431200,Daniel Munoz,Colombia,COL,DF,6.53,598,221,47613.35,89,451
485760,Ayyoub Bouaddi,Morocco,MAR,MF,5.57,586,166,47487.66,90,425
430440,Aiden Oneill,Australia,AUS,MF,6.97,648,186,47323.13,91,406
464542,Alex Freeman,USA,USA,DF,6.46,545,179,47281.6,92,442
429157,Julian Quinones,Mexico,MEX,FW,6.43,581,251,47274.89,93,440
492716,Morgan Rogers,England,ENG,MF,6.39,608,227,47046.38,94,411
401889,Ismaila Sarr,Senegal,SEN,FW,6.69,556,216,46719.89,95,419
358120,Kevin De Bruyne,Belgium,BEL,MF,5.67,573,204,46612.9,96,412
430669,Florian Wirtz,Germany,GER,MF,6.85,653,229,46415.88,97,405
441149,Vitinha,Portugal,POR,MF,6.85,559,174,46256.34,98,404
441234,Julio Enciso,Paraguay,PAR,FW,6.43,538,237,46088.56,99,431
431696,Richie Laryea,Canada,CAN,DF,5.81,464,231,46053.79,100,475
506329,Djed Spence,England,ENG,DF,5.99,417,214,45630.64,101,476
477795,Fares Chaibi,Algeria,ALG,MF,6.76,549,177,45534.2,102,403
403642,Krepin Diatta,Senegal,SEN,DF,5.93,467,164,45457.47,103,459
485677,Manu Kone,France,FRA,MF,4.03,590,110,45337.05,104,426
448598,Ismael Saibari,Morocco,MAR,MF,5.54,615,315,45216.86,105,411
405893,Aurelien Tchouameni,France,FRA,MF,3.32,637,155,45082.82,106,407
308386,Casemiro,Brazil,BRA,MF,6.37,449,116,45002.51,107,425
411367,Kai Havertz,Germany,GER,FW,6.93,577,202,44897.03,108,392
495349,Nicolas Raskin,Belgium,BEL,MF,6.95,508,128,44872.33,109,396
335656,Danilo,Brazil,BRA,DF,5.68,495,217,44689.09,110,471
386413,Joshua Kimmich,Germany,GER,DF,6.79,518,157,44638.55,111,392
448014,Alessandro Circati,Australia,AUS,DF,6.09,424,142,44568.44,112,438
494291,Ibrahim Maza,Algeria,ALG,MF,6.85,524,152,44461.44,113,389
448214,Malik Tillman,USA,USA,MF,6.45,607,215,44391.65,114,415
480322,Luc De Fougerolles,Canada,CAN,DF,6.37,528,174,44379.43,115,421
419020,Gonzalo Plata,Ecuador,ECU,FW,6.52,494,187,44302.06,116,407
433469,Mohanad Lashin,Egypt,EGY,MF,6.48,538,161,44288.9,117,409
448114,Dan Ndoye,Switzerland,SUI,FW,6.21,509,248,44247.46,118,437
371609,Franck Kessie,Côte d'Ivoire,CIV,MF,6.8,553,184,44144.95,119,389
430138,Tajon Buchanan,Canada,CAN,FW,6.58,537,213,43975.29,120,401
441622,Jhon Lucumi,Colombia,COL,DF,4.87,350,115,43823.06,121,538
441251,Antonee Robinson,USA,USA,DF,5.27,556,206,43815.48,122,399
448189,Anthony Gordon,England,ENG,FW,4.46,474,232,43686.72,123,442
384752,Ruben Dias,Portugal,POR,DF,5.0,429,110,43585.96,124,418
419518,Erik Lira,Mexico,MEX,MF,5.34,497,137,43502.52,125,391
436612,Denzel Dumfries,Netherlands,NED,DF,6.05,470,183,43452.06,126,432
424036,Pedro Vite,Ecuador,ECU,MF,6.38,648,177,43374.6,127,407
409241,Diney Borges,Cabo Verde,CPV,DF,5.88,395,111,43337.98,128,445
394500,Johan Mojica,Colombia,COL,DF,4.7,474,198,43296.39,129,442
402772,Jesus Gallardo,Mexico,MEX,DF,6.16,395,136,43286.39,130,431
369749,Junior Alonso,Paraguay,PAR,DF,5.96,457,123,43140.24,131,456
430442,Harry Souttar,Australia,AUS,DF,5.87,370,82,43035.91,132,438
433076,Samuel Moutoussamy,Congo DR,COD,MF,7.17,613,169,42992.72,133,360
308300,Emiliano Martinez,Argentina,ARG,GK,2.75,78,18,42953.19,134,934
419062,Chris Richards,USA,USA,DF,4.91,486,97,42886.99,135,419
483327,Viktor Gyokeres,Sweden,SWE,FW,6.41,426,177,42857.3,136,400
430482,Emam Ashour,Egypt,EGY,MF,6.48,522,185,42840.52,137,395
484860,Bradley Barcola,France,FRA,FW,6.03,340,165,42770.58,138,432
489517,Jan Paul Van Hecke,Netherlands,NED,DF,5.92,374,114,42651.39,139,432
385259,Konrad Laimer,Austria,AUT,MF,6.21,442,194,42644.73,140,412
403596,Jorge Sanchez,Mexico,MEX,DF,5.26,485,223,42619.96,141,388
430690,Moussa Niakhate,Senegal,SEN,DF,5.57,386,119,42611.78,142,459
401378,Jonathan Tah,Germany,GER,DF,6.1,392,119,42610.17,143,419
448343,Hans Vanaken,Belgium,BEL,MF,7.1,586,159,42602.58,144,362
433667,Josip Stanisic,Croatia,CRO,DF,6.19,418,196,42580.9,145,413
448332,Mike Maignan,France,FRA,GK,3.14,110,14,42478.9,146,810
428885,Moises Caicedo,Ecuador,ECU,MF,6.23,505,134,42353.4,147,407
353790,Sadio Mane,Senegal,SEN,FW,6.02,435,204,42224.81,148,421
430718,Fabian Ruiz,Spain,ESP,MF,7.0,518,111,42082.99,149,366
448196,Bukayo Saka,England,ENG,FW,5.48,518,213,42010.73,150,411
425701,Johan Vasquez,Mexico,MEX,DF,4.88,449,132,41955.37,151,412
390238,Tyler Adams,USA,USA,MF,5.07,566,175,41838.77,152,397
336022,Jordan Pickford,England,ENG,GK,2.92,118,27,41775.24,153,756
477770,Pico Lopes,Cabo Verde,CPV,DF,5.66,366,99,41751.06,154,445
359381,Ivan Perisic,Croatia,CRO,FW,6.04,452,183,41581.7,155,413
201200,Cristiano Ronaldo,Portugal,POR,FW,5.07,330,153,41504.05,156,490
441316,Yoane Wissa,Congo DR,COD,FW,6.07,384,140,41481.27,157,409
358241,Marcel Sabitzer,Austria,AUT,MF,6.03,488,233,41363.96,158,412
483304,Gustaf Lagerbielke,Sweden,SWE,DF,6.18,436,119,41310.47,159,400
448171,Josip Sutalo,Croatia,CRO,DF,5.96,410,118,40954.87,160,413
344661,Ramy Rabia,Egypt,EGY,DF,5.82,435,128,40932.16,161,431
448362,Charles De Ketelaere,Belgium,BEL,FW,5.32,426,217,40926.71,162,385
483497,Fredrik Aursnes,Norway,NOR,MF,6.87,571,173,40597.72,163,355
436743,Ermedin Demirovic,Bosnia and Herzegovina,BIH,FW,6.09,375,176,40423.23,164,399
426357,Aaron Wan Bissaka,Congo DR,COD,DF,6.07,460,194,40401.23,165,399
470760,Jhon Arias,Colombia,COL,MF,5.93,410,159,40007.46,166,405
448531,Antoine Semenyo,Ghana,GHA,MF,5.78,285,167,39933.84,167,414
424031,Piero Hincapie,Ecuador,ECU,DF,6.35,420,192,39830.97,168,376
332314,Idrissa Gana Gueye,Senegal,SEN,MF,5.81,449,140,39822.15,169,411
441067,Stefan Posch,Austria,AUT,DF,6.43,479,164,39797.88,170,370
441333,Gideon Mensah,Ghana,GHA,DF,5.74,365,158,39697.98,171,414
441088,Nicolas Seiwald,Austria,AUT,MF,6.65,491,132,39640.15,172,361
489688,Yasin Ayari,Sweden,SWE,MF,6.4,434,109,39607.81,173,371
477852,Kevin Pina,Cabo Verde,CPV,MF,6.07,388,116,39576.48,174,389
506039,Ime Okon,South Africa,RSA,DF,5.9,460,183,39562.72,175,402
401448,Denis Zakaria,Switzerland,SUI,MF,4.05,393,168,39537.36,176,392
403274,Hiroki Ito,Japan,JPN,DF,5.85,358,119,39533.62,177,405
485066,Petar Sucic,Croatia,CRO,MF,7.0,548,158,39444.7,178,338
448152,Cody Gakpo,Netherlands,NED,FW,5.98,418,177,39227.0,179,394
463218,Khuliso Mudau,South Africa,RSA,DF,5.83,399,189,39120.48,180,402
433195,Nuno Mendes,Portugal,POR,DF,5.23,382,160,39049.58,181,447
448103,Fabian Rieder,Switzerland,SUI,MF,6.04,566,179,38929.3,182,332
398588,Alexander Sorloth,Norway,NOR,FW,5.38,483,187,38789.92,183,363
448557,Daichi Kamada,Japan,JPN,MF,6.49,423,128,38789.21,184,359
422657,Frenkie De Jong,Netherlands,NED,MF,6.5,424,109,38652.6,185,360
448607,Chadi Riad,Morocco,MAR,DF,3.94,393,99,38595.32,186,390
430452,Connor Metcalfe,Australia,AUS,MF,6.49,513,175,38524.77,187,354
431230,Noor Alrawabdeh,Jordan,JOR,MF,7.46,635,142,38422.0,188,309
403063,Axel Tuanzebe,Congo DR,COD,DF,5.59,311,128,38203.61,189,409
397786,Virgil Van Dijk,Netherlands,NED,DF,5.3,292,100,38197.13,190,432
